cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,2D Computer Aided Design,,8,,"Arts, STEM",https://www.qualifax.ie/course/223527,1,0,,,2025-01-25T15:00:00,0," stem, aided, arts, computer, design"
,Access to Arts Humanities Social Sciences & Law AHSSL - Mature Applicants,,8,,"Arts, STEM",https://www.qualifax.ie/course/222979,1,0,,,2025-01-25T15:00:00,0," stem, access, ahssl, applicants, arts, humanities, law, mature, sciences, social"
,Access to Arts Humanities Social Sciences & Law AHSSL - Young Adult Applicants,,8,,"Arts, STEM",https://www.qualifax.ie/course/30309,1,0,,,2025-01-25T15:00:00,0," stem, access, adult, ahssl, applicants, arts, humanities, law, sciences, social, young"
,Access to Science Engineering Agricultural Science & Medicine SEAM,,8,,"Health, STEM",https://www.qualifax.ie/course/30315,1,0,,,2025-01-25T15:00:00,0," stem, access, agricultural, engineering, health, medicine, science, seam"
,Accounting - Manual & Computerised,,8,,"Business, STEM",https://www.qualifax.ie/course/108922,1,0,,,2025-01-25T15:00:00,0," stem, accounting, business, computerised, manual"
,Accounting for SMES - Manual & Computerised,,8,,"Business, STEM",https://www.qualifax.ie/course/8505,1,0,,,2025-01-25T15:00:00,1," stem, accounting, business, computerised, manual, smes"
,Actuarial & Financial Mathematics - Common Entry,,8,,STEM,https://www.qualifax.ie/course/31054,1,0,,,2025-01-25T15:00:00,1,"actuarial, common, entry, financial, mathematics, stem"
,Actuarial Mathematics,,8,,STEM,https://www.qualifax.ie/course/2285,1,0,,,2025-01-25T15:00:00,1,"actuarial, mathematics, stem"
,Actuarial Science,,8,,STEM,https://www.qualifax.ie/course/112938,1,0,,,2025-01-25T15:00:00,1,"actuarial, science, stem"
,Actuarial Science & Risk Management,,8,,"Business, STEM",https://www.qualifax.ie/course/31605,1,0,,,2025-01-25T15:00:00,1," stem, actuarial, business, management, risk, science"
,Advanced Networks & Cyber Security - Computer systems and Networks,,8,,STEM,https://www.qualifax.ie/course/222532,1,0,,,2025-01-25T15:00:00,2,"advanced, computer, cyber, networks, security, stem, systems"
,Advanced Synthetic Chemistry,,8,,STEM,https://www.qualifax.ie/course/112809,1,0,,,2025-01-25T15:00:00,2,"advanced, chemistry, stem, synthetic"
,Advanced Therapy Medicinal Products ATMP Technology & Manufacturing - Sligo,,8,,"Health, STEM",https://www.qualifax.ie/course/221859,1,0,,,2025-01-25T15:00:00,2," stem, advanced, atmp, health, manufacturing, medicinal, products, sligo, technology, therapy"
,Advanced Wood & Sustainable Building Technology - Sligo,,8,,STEM,https://www.qualifax.ie/course/59119,1,0,,,2025-01-25T15:00:00,2,"advanced, building, sligo, stem, sustainable, technology, wood"
,Aerospace Engineering - Research,,8,,STEM,https://www.qualifax.ie/course/110500,1,0,,,2025-01-25T15:00:00,3,"aerospace, engineering, research, stem"
,Agri-Biosciences - Cork,,8,,STEM,https://www.qualifax.ie/course/103706,1,0,,,2025-01-25T15:00:00,3,"agri, biosciences, cork, stem"
,Agricultural Biotechnology,,8,,STEM,https://www.qualifax.ie/course/91164,1,0,,,2025-01-25T15:00:00,3,"agricultural, biotechnology, stem"
,Agricultural Science,,8,,STEM,https://www.qualifax.ie/course/220040,1,0,,,2025-01-25T15:00:00,3,"agricultural, science, stem"
,Agricultural Science - Kerry,,8,,STEM,https://www.qualifax.ie/course/68661,1,0,,,2025-01-25T15:00:00,3,"agricultural, kerry, science, stem"
,Agricultural Science - Waterford,,8,,STEM,https://www.qualifax.ie/course/82476,1,0,,,2025-01-25T15:00:00,3,"agricultural, science, stem, waterford"
,Agricultural Science & Sustainability - Thurles,,8,,STEM,https://www.qualifax.ie/course/113910,1,0,,,2025-01-25T15:00:00,3,"agricultural, science, stem, sustainability, thurles"
,Agricultural Technology,,8,,STEM,https://www.qualifax.ie/course/31503,1,0,,,2025-01-25T15:00:00,3,"agricultural, stem, technology"
,Agricultural Technology with Professional Studies,,8,,STEM,https://www.qualifax.ie/course/3928,1,0,,,2025-01-25T15:00:00,3,"agricultural, professional, stem, studies, technology"
,Agriculture & Technology,,8,,STEM,https://www.qualifax.ie/course/218515,1,0,,,2025-01-25T15:00:00,3,"agriculture, stem, technology"
,Agriculture with Animal & Crop Science - Letterkenny,,8,,STEM,https://www.qualifax.ie/course/218394,1,0,,,2025-01-25T15:00:00,3,"agriculture, animal, crop, letterkenny, science, stem"
,AgriFood Sustainabilty & Technology,,8,,STEM,https://www.qualifax.ie/course/110140,1,0,,,2025-01-25T15:00:00,3,"agrifood, stem, sustainabilty, technology"
,Aircraft Lease Transition Project and Data Management - Online,,8,,"Business, STEM",https://www.qualifax.ie/course/220403,1,0,,,2025-01-25T15:00:00,3," stem, aircraft, business, data, lease, management, online, project, transition"
,Analytical & Pharmaceutical Chemistry - Cork,,8,,STEM,https://www.qualifax.ie/course/371,1,0,,,2025-01-25T15:00:00,3,"analytical, chemistry, cork, pharmaceutical, stem"
