cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page,keywords
,Early Learning and Care Advanced Certificate - Stage 2,,6,,"Education, Health",https://www.qualifax.ie/course/223129,1,0,,,2025-01-25T15:00:00,0," health, advanced, care, certificate, early, education, learning, stage"
,Accountancy - Association of Chartered Certified Accountants - ACCA,,6,,Arts,https://www.qualifax.ie/course/85173,1,0,,,2025-01-25T15:00:00,0,"acca, accountancy, accountants, arts, association, certified, chartered"
,Accounting Technician - Certified - ACCA,,6,,Business,https://www.qualifax.ie/course/3273,1,0,,,2025-01-25T15:00:00,1,"acca, accounting, business, certified, technician"
,Adult Green Cert - Part-time & Distance Learning Programme,,6,,Arts,https://www.qualifax.ie/course/74251,1,0,,,2025-01-25T15:00:00,2,"adult, arts, cert, distance, green, learning, part, time"
,Agriculture - Green Cert,,6,,General,https://www.qualifax.ie/course/75750,1,0,,,2025-01-25T15:00:00,3,"agriculture, cert, general, green"
,Agriculture & Farming - The Green Cert,,6,,General,https://www.qualifax.ie/course/113066,1,0,,,2025-01-25T15:00:00,3,"agriculture, cert, farming, general, green"
,Agriculture Green Cert,,6,,General,https://www.qualifax.ie/course/66526,1,0,,,2025-01-25T15:00:00,3,"agriculture, cert, general, green"
,Animal Welfare Training - Certificate of Competence (COC),,6,,General,https://www.qualifax.ie/course/88005,1,0,,,2025-01-25T15:00:00,4,"animal, certificate, coc, competence, general, training, welfare"
,Art - Advanced Certificate,,6,,Arts,https://www.qualifax.ie/course/28035,1,0,,,2025-01-25T15:00:00,7,"advanced, art, arts, certificate"
,PLC Post Leaving Cert Level 5 NFQ NFQ Type Major 5M1985 Art Jesus & Mary Secondary School Enniscrone PLC Post Leaving Cert Level 5 NFQ NFQ Type Major 5M1985,,6,,Arts,https://www.qualifax.ie/course/7581,1,0,,,2025-01-25T15:00:00,7,"5m1985, art, arts, cert, enniscrone, jesus, leaving, level, major, mary, nfq, plc, post, school, secondary, type"
,Certified Network Associate - Cork,,6,,General,https://www.qualifax.ie/course/218110,1,0,,,2025-01-25T15:00:00,20,"associate, certified, cork, general, network"
,Cloud Architecting with AWS Certification Preparation - Tallaght,,6,,General,https://www.qualifax.ie/course/110967,1,0,,,2025-01-25T15:00:00,22,"architecting, aws, certification, cloud, general, preparation, tallaght"
,Computing - For Leaving Certificate Computer Science - Tallaght,,6,,STEM,https://www.qualifax.ie/course/67768,1,0,,,2025-01-25T15:00:00,26,"certificate, computer, computing, leaving, science, stem, tallaght"
